resident_id_m,approx_social_grade,country_of_birth_3a,economic_activity_status_10m,ethnic_group_tb_6a,health_in_general,hh_families_type_6a,hours_per_week_worked,in_full_time_education,industry_10a,iol22cd,legal_partnership_status_6a,occupation_10a,region,religion_tb,residence_type,resident_age_7d,sex,usual_short_student
PTS000000588097,4,1,1,4,1,4,4,2,4,-8,1,5,E12000003,2,1,4,2,1
PTS000000000320,-8,1,5,4,2,1,-8,2,7,-8,1,2,E12000005,2,1,7,2,1
PTS000000397448,-8,2,5,4,2,1,-8,2,7,-8,1,3,E12000002,,1,7,2,1
PTS000000082442,-8,1,5,4,3,2,-8,2,8,-8,2,8,E12000006,2,1,7,1,1
PTS000000040944,2,1,2,4,2,2,1,2,5,-8,2,7,E12000003,2,1,4,1,1
PTS000000042092,1,1,-8,1,1,2,-8,-8,-8,-8,-8,-8,E12000003,1,1,1,2,1
PTS000000394161,4,2,1,1,2,4,3,2,3,E13000002,2,9,E12000007,8,1,6,2,1
PTS000000393514,4,1,9,1,2,4,-8,2,8,E13000002,1,2,E12000007,9,1,3,1,1
PTS000000391722,2,1,-8,1,2,2,-8,1,-8,E13000002,-8,-8,E12000007,4,1,1,2,1
PTS000000330695,2,1,-8,4,1,2,-8,1,-8,-8,-8,-8,E12000008,2,1,1,2,1
PTS000000331410,1,1,-8,4,1,2,-8,-8,-8,-8,2,-8,E12000008,1,1,1,2,1
PTS000000330470,4,1,8,4,4,5,-8,2,5,-8,1,7,E12000008,2,1,6,1,1
PTS000000517044,1,1,1,4,1,3,3,2,7,-8,1,1,E12000008,1,1,3,1,1
PTS000000267018,1,1,1,4,1,2,4,2,6,-8,2,1,E12000008,2,1,4,1,1
PTS000000517286,2,1,1,4,1,2,3,2,8,-8,2,2,E12000008,2,1,3,1,1
PTS000000517818,2,1,-8,4,1,3,-8,-8,-8,-8,-8,-8,E12000008,1,1,1,1,1
PTS000000245255,2,2,2,4,1,2,-8,1,-8,-8,-8,-8,E12000008,2,1,1,2,1
PTS000000394161,4,2,1,1,2,4,3,2,3,E13000002,2,10,E12000007,8,1,6,2,1
PTS000000330470,4,1,8,4,4,5,-8,2,5,-8,1,7,E12000008,2,1,6,1,1
